[0.000000] (-) TimerEvent: {}
[0.000172] (-) JobUnselected: {'identifier': 'audio_listener'}
[0.000244] (-) JobUnselected: {'identifier': 'collision_check'}
[0.000254] (-) JobUnselected: {'identifier': 'gaze_control'}
[0.000262] (-) JobUnselected: {'identifier': 'mbot_demo'}
[0.000269] (-) JobUnselected: {'identifier': 'motion_sequence'}
[0.000276] (-) JobUnselected: {'identifier': 'move_to_coordinator'}
[0.000282] (-) JobUnselected: {'identifier': 'my_3d_vision_bringup'}
[0.000289] (-) JobUnselected: {'identifier': 'realsense_gazebo_plugin'}
[0.000295] (-) JobUnselected: {'identifier': 'robot_motion_handler_movegroup'}
[0.000302] (-) JobUnselected: {'identifier': 'rviz_marker_static_scene_objects'}
[0.000308] (-) JobUnselected: {'identifier': 'rviz_robot_control_panel'}
[0.000315] (-) JobUnselected: {'identifier': 'rviz_servo_status_overlay'}
[0.000321] (-) JobUnselected: {'identifier': 'transcript_manager'}
[0.000347] (-) JobUnselected: {'identifier': 'uf_ros_lib'}
[0.000354] (-) JobUnselected: {'identifier': 'voice_command_listener'}
[0.000361] (-) JobUnselected: {'identifier': 'whisper_bringup'}
[0.000367] (-) JobUnselected: {'identifier': 'whisper_cpp_vendor'}
[0.000374] (-) JobUnselected: {'identifier': 'whisper_demos'}
[0.000380] (-) JobUnselected: {'identifier': 'whisper_idl'}
[0.000387] (-) JobUnselected: {'identifier': 'whisper_server'}
[0.000393] (-) JobUnselected: {'identifier': 'whisper_util'}
[0.000400] (-) JobUnselected: {'identifier': 'xarm_api'}
[0.000406] (-) JobUnselected: {'identifier': 'xarm_controller'}
[0.000413] (-) JobUnselected: {'identifier': 'xarm_description'}
[0.000420] (-) JobUnselected: {'identifier': 'xarm_gazebo'}
[0.000426] (-) JobUnselected: {'identifier': 'xarm_moveit_config'}
[0.000432] (-) JobUnselected: {'identifier': 'xarm_moveit_servo'}
[0.000439] (-) JobUnselected: {'identifier': 'xarm_msgs'}
[0.000445] (-) JobUnselected: {'identifier': 'xarm_planner'}
[0.000452] (-) JobUnselected: {'identifier': 'xarm_sdk'}
[0.000459] (-) JobUnselected: {'identifier': 'yolo_object_detector'}
[0.000465] (-) JobUnselected: {'identifier': 'zed_components'}
[0.000472] (-) JobUnselected: {'identifier': 'zed_interfaces'}
[0.000478] (-) JobUnselected: {'identifier': 'zed_ros2'}
[0.000485] (-) JobUnselected: {'identifier': 'zed_wrapper'}
[0.000560] (-) EventReactorShutdown: {}
